2 	0	7 	0	0	18 	3 	0	0	0	0	22 	0	0	14 	19 	0	1 	9 	12 	11 	13 	0	17 	10
25 	0	3 	0	0	15 	24 	0	10 	0	21 	0	0	1 	18 	0	23 	0	17 	0	0	0	0	0	0 
0	0	0	0	20 	0	21 	13 	25 	0	0	0	0	0	15 	0	0	0	0	11 	23 	0	22 	0	0 
0	0	19 	0	11 	9 	0	4 	16 	14 	0	0	0	0	0	25 	0	15 	2 	0	0	0	0	0	0 
23 	0	0	0	0	0	12 	0	22 	0	0	9 	13 	0	8 	0	10 	6 	0	24 	0	19 	14 	0	16
22 	0	0	3 	6 	0	0	15 	0	0	0	2 	0	0	17 	0	0	11 	4 	0	0	0	0	0	13
16 	20 	0	0	0	0	7 	0	0	0	23 	18 	6 	11 	0	0	0	9 	25 	0	10 	1 	19 	0	0 
0	10 	0	0	25 	0	17 	18 	21 	16 	9 	20 	0	13 	0	8 	0	19 	0	22 	0	0	0	7 	0 
17 	0	2 	11 	13 	0	23 	0	3 	0	15 	0	10 	19 	24 	7 	16 	0	0	5 	0	0	0	9 	25
1 	9 	5 	0	18 	0	14 	0	11 	0	0	0	0	0	0	0	0	0	0	2 	0	12 	0	24 	23
11 	0	0	6 	10 	13 	9 	20 	0	19 	0	0	18 	15 	25 	0	0	22 	0	21 	17 	0	0	0	2
18 	0	0	2 	24 	14 	0	25 	0	21 	0	0	0	12 	23 	10 	0	0	0	15 	9 	0	16 	0	0 
0	4 	0	0	8 	0	22 	7 	15 	0	0	0	0	0	0	0	2 	5 	11 	0	19 	0	0	1 	0 
0	0	21 	0	23 	24 	0	0	0	8 	4 	14 	0	0	0	17 	0	7 	0	25 	15 	10 	0	0	6
7 	0	0	0	1 	5 	0	16 	0	0	10 	13 	19 	0	0	6 	0	3 	20 	23 	12 	8 	0	0	24
20 	22 	0	23 	0	16 	0	0	0	0	0	0	0	0	0	0	15 	0	1 	0	18 	0	24 	6 	8
9 	1 	0	0	0	6 	0	0	13 	15 	17 	19 	7 	0	4 	0	3 	0	5 	0	25 	21 	10 	0	11
0	19 	0	0	0	11 	0	17 	0	2 	0	1 	0	5 	20 	24 	8 	25 	21 	0	7 	0	0	23 	0 
0	0	16 	25 	7 	0	19 	5 	0	0	0	3 	24 	23 	12 	0	0	0	18 	0	0	0	0	15 	22
15 	0	0	0	0	0	25 	9 	0	0	13 	0	0	10 	0	0	0	20 	0	0	5 	3 	0	0	14
24 	0	6 	7 	0	3 	0	21 	9 	0	2 	0	1 	20 	0	0	25 	0	23 	0	0	0	0	0	19
0	0	0	0	0	0	2 	8 	0	1 	0	0	0	0	0	3 	9 	12 	0	16 	4 	0	23 	0	0 
0	0	20 	0	9 	25 	0	0	0	0	14 	0	0	0	0	0	21 	24 	22 	0	8 	0	0	0	0 
0	0	0	0	0	0	11 	0	5 	0	16 	25 	0	0	6 	0	20 	0	19 	8 	0	0	18 	0	7
5 	2 	0	4 	16 	7 	13 	23 	0	24 	8 	0	0	9 	0	0	0	0	6 	1 	0	0	3 	0	12
